Name of movie,YEAR,RATES,METASCORE,gross_collection,Votes,Watch Time,Genre,Certificate,Description,Director,Stars
The Shawshank Redemption,1994,9.3,82,"28,341,469",2806836,142,Drama,A,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","
Frank Darabont","Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler"
The Godfather,1972,9.2,100,"134,966,411",1955954,175,"Crime, Drama",A,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","
Francis Ford Coppola","Marlon Brando, Al Pacino, James Caan, Diane Keaton"
Ramayana: The Legend of Prince Rama,1993,9.2,NAN,13031,13031,135,"Animation, Action, Adventure",U,"An anime adaptation of the Hindu epic the Ramayana, where Lord Ram combats the wicked king Ravana.","Directors:
Ram Mohan, 
Yûgô Sakô, 
Koichi Saski","Arun Govil, Nikhil Kapoor, Edie Mirman, Rael Padamsee"
Hababam Sinifi,1975,9.2,NAN,42248,42248,87,"Comedy, Drama",N/A,"Lazy, uneducated students share a very close bond. They live together in the dormitory, where they plan their latest pranks. When a new headmaster arrives, the students naturally try to overthrow him. A comic war of nitwits follows.","
Ertem Egilmez","Kemal Sunal, Münir Özkul, Halit Akçatepe, Tarik Akan"
The Dark Knight,2008,9.0,84,"534,858,444",2788568,152,"Action, Crime, Drama",UA,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","
Christopher Nolan","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine"
Schindler's List,1993,9.0,95,"96,898,818",1411037,195,"Biography, Drama, History",A,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","
Steven Spielberg","Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall"
The Lord of the Rings: The Return of the King,2003,9.0,94,"377,845,905",1921400,201,"Action, Adventure, Drama",U,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"
Peter Jackson","Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom"
12 Angry Men,1957,9.0,97,"4,360,000",835277,96,"Crime, Drama",U,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"
Sidney Lumet","Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler"
The Godfather Part II,1974,9.0,90,"57,300,000",1328206,202,"Crime, Drama",A,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","
Francis Ford Coppola","Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton"
Aynabaji,2016,9.0,NAN,29116,29116,147,"Crime, Mystery, Thriller",N/A,"A struggling actor becomes a professional impostor, hired to impersonate people for financial gain, but as he delves deeper into his work he becomes embroiled in trouble that threatens to unravel his life.","
Amitabh Reza Chowdhury","Chanchal Chowdhury, Masuma Rahman Nabila, Partha Barua, Lutfur Rahman George"
DAMaN,2022,9.0,NAN,13434,13434,121,"Adventure, Drama",UA,"The film is set in 2015. Sid, is a young doctor who completed his MBBS has been posted to the cut-off area of Malkangiri district Odisha having 151 villages & infamous for Naxals dominance & no basic facilities. It's a real life tale of perseverance & dedication.","Directors:
Lenka Debiprasad, 
Vishal Mourya","Karan Kandhapan, Babushan Mohanty, Dipanwit Dashmohapatra, Manaswani Takri"
Pulp Fiction,1994,8.9,95,"107,928,762",2152644,154,"Crime, Drama",A,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","
Quentin Tarantino","John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis"
Kimetsu no Yaiba: Tsuzumi Yashiki Hen,2021,8.9,NAN,21945,21945,87,"Animation, Action, Fantasy",N/A,Tanjiro ventures to the south-southeast where he encounters a cowardly young man named Zenitsu Agatsuma. He is a fellow survivor from Final Selection and his sparrow asks Tanjiro to help keep him in line.,"
Haruo Sotozaki",N/A
Al-risâlah,1976,8.9,NAN,10146,10146,207,"Action, Adventure, Biography",PG,"The story of prophet ""Muhammad"" and the delivery of the message of God ""Allah.""","
Moustapha Akkad","Abdallah Gheith, Mona Wassef, Hamdy Gheith, Ali Achmed Taram"
Tosun Pasa,1976,8.9,NAN,24174,24174,90,Comedy,N/A,"Two traditionally rival Turkish families, ""Seferoglu""s and ""Tellioglu""s are competing for the ""Green Valley"". The winner will be determined by Daver Bey, who has a beautiful young daughter,...                See full summary »","
Kartal Tibet","Kemal Sunal, Müjde Ar, Adile Nasit, Sener Sen"
Hababam Sinifi Sinifta Kaldi,1975,8.9,NAN,24229,24229,91,Comedy,N/A,A young and beautiful female teacher starts working in an all boys high school.,"
Ertem Egilmez","Kemal Sunal, Münir Özkul, Semra Özdamar, Adile Nasit"
Fight Club,1999,8.8,67,"37,030,102",2241114,139,Drama,A,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,"
David Fincher","Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier"
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,"315,544,750",1949690,178,"Action, Adventure, Drama",U,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"
Peter Jackson","Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean"
Inception,2010,8.8,74,"292,576,195",2475030,148,"Action, Adventure, Sci-Fi",UA,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","
Christopher Nolan","Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe"
